項次,熱點類別,熱點名稱,郵遞區號,縣市名稱,鄉鎮市區,地址,熱點類別_英語,熱點名稱_英語,縣市名稱_英語,鄉鎮市區_英語,地址_英語
30,洽公場所,后里區公所,421,臺中市,后里區,臺中市后里區公安路84號,Government Offices,"Houli District Office,Taichung City",Taichung City,Houli District,"No.84,Gong'an Rd.,Houli Dist., Taichung City 42151,  Taiwan (R.O.C.)"
31,洽公場所,神岡區公所,429,臺中市,神岡區,臺中市神岡區神岡路30號,Government Offices,"Shengang District Office  ,Taichung City",Taichung City,Shengang District,"No.30, Shengang Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
32,洽公場所,潭子區公所,427,臺中市,潭子區,臺中市潭子區中山路二段239號,Government Offices,"Tanzi District Office  ,Taichung City",Taichung City,Tanzi District,"No.239, Sec. 2, Zhongshan Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
33,洽公場所,大雅區公所,428,臺中市,大雅區,臺中市大雅區雅環路二段301號,Government Offices,"Daya District Office,Taichung City",Taichung City,Daya District,"No.310, Sec. 2, Yahuan Rd., Daya Dist., Taichung City 428, Taiwan (R.O.C.) "
34,洽公場所,新社區公所,426,臺中市,新社區,臺中市新社區復盛里興社街二段28之1號,Government Offices,"Xinshe District Office,Taichung City ",Taichung City,Xinshe District,"No.28-1, Sec. 2, Xingshe St., Xinshe Dist., Taichung City 426, Taiwan (R.O.C.)"
35,洽公場所,石岡區公所,422,臺中市,石岡區,臺中市石岡區豐勢路1033號,Government Offices,"Shigang District Office,Taichung City",Taichung City,Shihkang District,"No.1033, Fengshi Rd., Shigang Dist., Taichung City 422, Taiwan (R.O.C.)"
36,洽公場所,外埔區公所,438,臺中市,外埔區,臺中市外埔區大同里六分路390號,Government Offices,"Waipu District Office,Taichung City",Taichung City,Waipu District,"No.390, Liufen Rd., Waipu Dist., Taichung City 438, Taiwan (R.O.C.)"
37,洽公場所,大安區公所,439,臺中市,大安區,臺中市大安區中山南路356號,Government Offices,"Da-an District Office,Taichung City",Taichung City,Daan District,"No.356, Zhongshan S. Rd., Da’an Dist., Taichung City 439, Taiwan (R.O.C.)"
38,洽公場所,烏日區公所,414,臺中市,烏日區,臺中市烏日區新興路316號,Government Offices,"Wuri District Office, Taichung City",Taichung City,Wuri District,"No.316, Xinxing Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
39,洽公場所,大肚區公所,432,臺中市,大肚區,臺中市大肚區沙田路二段646號,Government Offices,"Dadu District Office,Taichung City",Taichung City,Dadu District,"No.646, Sec. 2, Shatian Rd., Dadu District, Taichung City 432, Taiwan (R.O.C.)"
40,洽公場所,龍井區公所,434,臺中市,龍井區,臺中市龍井區沙田路四段247號,Government Offices,"Longjing District Office, Taichung City",Taichung City,Longjing District,"No.247, Sec. 4, Shatian Rd., Longjing Dist., Taichung City 434, Taiwan (R.O.C.)"
41,洽公場所,霧峰區公所,413,臺中市,霧峰區,臺中市霧峰區本堂里大同路20號,Government Offices,Wufeng District Office Taichung City,Taichung City,Wufeng District,"No.20, Datong Rd., Wufeng Dist., Taichung City 413, Taiwan (R.O.C.)"
42,洽公場所,和平區公所,424,臺中市,和平區,臺中市和平區南勢里東關路三段156號,Government Offices,"Heping District Office ,Taichung City ",Taichung City,Heping District,"No.156, Sec. 3, Dongguan Rd., Heping Dist., Taichung City 424, Taiwan (R.O.C.)"
43,洽公場所,中區戶政事務所,400,臺中市,中區,臺中市中區柳川里12鄰興中街80號,Government Offices,"Central District Household Registration Office, Taichung City",Taichung City,Central District,"No.80, Xingzhong St., Central District, Taichung City, Taiwan (R.O.C.)"
44,洽公場所,東區戶政事務所,401,臺中市,東區,臺中市東區和平街61號,Government Offices,"East District Household Registration Office, Taichung City",Taichung City,East District,"No.61, Heping St., East Dist., Taichung City 401, Taiwan (R.O.C.)"
45,洽公場所,西區戶政事務所,403,臺中市,西區,臺中市西區三民路一段161號三樓,Government Offices,"West District Household Registration Office, Taichung City",Taichung City,West Dist,"3F, No.161, Sec. 1, Sanmin Rd., West District, Taichung City 403, Taiwan (R.O.C.)"
46,洽公場所,南區戶政事務所,402,臺中市,南區,臺中市南區工學路72號,Government Offices,South District Household Registration Office Taichung City,Taichung City,South District,"1F, No.72 GongXue Rd. , South District, Taichung City, Taiwan (R.O.C.)"
47,洽公場所,北區戶政事務所,404,臺中市,北區,臺中市北區永興街299號,Government Offices,"North District Household Registration Office,Taichung City",Taichung City,North District,"No.299, Yongxing St., North District, Taichung City ,Taiwan(R.O.C.)"
48,洽公場所,西屯區戶政事務所,407,臺中市,西屯區,臺中市西屯區市政北二路386號,Government Offices,"Xitun District Household Registration Office,Taichung City",Taichung City,Xitun District,"No. 386, Shizheng N. 2nd Rd., Xitun District, Taichung City, Taiwan (R.O.C.)"
49,洽公場所,南屯區戶政事務所,408,臺中市,南屯區,臺中市南屯區南屯路二段409號,Government Offices,"Nantun District Household Registration Office,Taichung City",Taichung City,Nantun District,"No.679, Yongchun E. Rd.,  Nantun District, Taichung City, Taiwan (R.O.C.)"
50,洽公場所,北屯區戶政事務所,406,臺中市,北屯區,臺中市北屯區崇德路三段10號,Government Offices,"Beitun District Household Registration Office, Taichung City",Taichung City,Beitun District,"No.10, Sec. 3, Chongde  Rd., Beitun District, Taichung City 406, Taiwan (R.O.C.)"
51,洽公場所,豐原區戶政事務所,420,臺中市,豐原區,臺中市豐原區市政路2號,Government Offices,"Fengyuan District Household Registration Office,Taichung City",Taichung City,Fengyuan District,"No.2, Shizheng Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
52,洽公場所,大里區戶政事務所,412,臺中市,大里區,臺中市大里區新興路7號,Government Offices,"Dali District Household Registration Office,Taichung City",Taichung City,Dali District,"No.7, Sinsing Rd., Dali District, Taichung City, Taiwan (R.O.C.)"
53,洽公場所,太平區戶政事務所,411,臺中市,太平區,臺中市太平區大源路2之18號,Government Offices,Taiping District Household Registration Office Taichung City,Taichung City,Taiping District,"No.2-18, Dayuan Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
54,洽公場所,東勢區戶政事務所,423,臺中市,東勢區,臺中市東勢區北興里豐勢路516號,Government Offices,"Dongshi District Household Registration Office,Taichung City",Taichung City,Dongshi Dist,"No.516, Fengshi Rd., Dongshi District, Taichung City 42352, Taiwan (R.O.C.)"
55,洽公場所,大甲區戶政事務所,437,臺中市,大甲區,臺中市大甲區民權路52號6樓,Government Offices,"Dajia District Household Registration Office,Taichung City",Taichung City,Dajia District,"6F., No.52, Minquan Rd., Dajia District, Taichung City 437, Taiwan (R.O.C.) "
56,洽公場所,清水區戶政事務所,436,臺中市,清水區,臺中市清水區中社里鰲峰路239號,Government Offices,"Qingshui District Household Registration Office, Taichung City",Taichung City,Qingshui District,"No.239, Aofeng Rd., Qingshui District, Taichung City, Taiwan (R.O.C.) "
57,洽公場所,沙鹿區戶政事務所,433,臺中市,沙鹿區,臺中市沙鹿區北勢里鎮政路16號,Government Offices,"Sha Lu Household Registration Office, Taichung City ",Taichung City,Shalu District,"No.16,Jhenjheng Rd., Shalu District, Taichung City 433, Taiwan (R.O.C.)"
58,洽公場所,梧棲區戶政事務所,435,臺中市,梧棲區,臺中市梧棲區中興路212號,Government Offices,"Wuqi District Household Registration Office,Taichung City",Taichung City,Wuqi District,"No.212, Jhongsing Rd., Wuqi District, Taichung City, Taiwan (R.O.C.)"
59,洽公場所,后里區戶政事務所,421,臺中市,后里區,臺中市后里區敦西里公安路90號,Government Offices,"Houli District Household Registration Office,Taichung City",Taichung City,Houli District,"No.90, Gong-an Rd., Houli District, Taichung City 421, Taiwan (R.O.C.)"
60,洽公場所,神岡區戶政事務所,429,臺中市,神岡區,臺中市神岡區神岡路121-1號,Government Offices,"Shengang District Household Registration Office,Taichung City",Taichung City,Shengang District,"No.121-1,Shengang Rd.,Shengang District,Taichung City ,Taiwan(R.O.C.)"
61,洽公場所,潭子區戶政事務所,427,臺中市,潭子區,臺中市潭子區中山路二段237巷3號,Government Offices,"Tanzi District Household Registration Office,Taichung City",Taichung City,Tanzi District,"No.3, Lane 237, Sec. 2, Jhongshan Rd., Tanzi District, Taichung City , Taiwan (R.O.C.)"
62,洽公場所,大雅區戶政事務所,428,臺中市,大雅區,臺中市大雅區雅環路二段299號2樓,Government Offices,"Daya District Household Registration Office,Taichung City",Taichung City,Daya District,"2F., No.299, Sec. 2, Yahuan Rd., Daya Dist., Taichung City 42869, Taiwan (R.O.C.)"
63,洽公場所,新社區戶政事務所,426,臺中市,新社區,臺中市新社區興社街二段28之2號,Government Offices,"Dadu Distric Household Registration Office, Taichung City",Taichung City,Xinshe District,"No.1, Ronghua St., Dadu Dist., Taichung City 432, Taiwan (R.O.C.)"
64,洽公場所,石岡區戶政事務所,422,臺中市,石岡區,臺中市石岡區明德路18號,Government Offices,"Shigang Dstrict Household Registration Office,Taichung City",Taichung City,Shihkang District,"No18,Mingde Rd., Shigang Dstrict , Taichung City 42265, Taiwan,R.O.C."
65,洽公場所,外埔區戶政事務所,438,臺中市,外埔區,臺中市外埔區六分路352號,Government Offices,"Waipu District Household Registration Office,Taichung City",Taichung City,Waipu District,"No.352, Liufen Rd., Waipu District, Taichung City, Taiwan (R.O.C.)"
66,洽公場所,大安區戶政事務所,439,臺中市,大安區,臺中市大安區中庄里中山南路320號,Government Offices," Da'an District Household Registration Office, Taichung City ",Taichung City,Daan District,"No. 302, Jhongshan S. Rd.,  Da'an District, Taichung City,Taiwan (R.O.C.)"
67,洽公場所,烏日區戶政事務所,414,臺中市,烏日區,臺中市烏日區高鐵路一段170號,Government Offices,"Wuri District Household Registration Office, Taichung City",Taichung City,Wuri District,"No.170, Sec. 1, Gaotie Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
68,洽公場所,大肚區戶政事務所,432,臺中市,大肚區,臺中市大肚區沙田路三段38-1號,Government Offices,"Dadu District Household Registration Office,Taichung City",Taichung City,Dadu District,"No.38-1,Sec.3,Shatian Rd., Dadu District, Taichung City, Taiwan (R.O.C.)           "
69,洽公場所,龍井區戶政事務所,434,臺中市,龍井區,臺中市龍井區沙田路四段257號,Government Offices,"Longjing District Household Registration Office, Taichung City",Taichung City,Longjing District,"No.257, Sec. 4, Shatian Rd., Longjing District, Taichung City, Taiwan (R.O.C.)"
70,洽公場所,霧峰區戶政事務所,413,臺中市,霧峰區,臺中市霧峰區吉峰路16號,Government Offices,"Wufeng District Household Registration Office,Taichung City",Taichung City,Wufeng District,"No.16, Jifeng Rd., Wufeng District, Taichung City, Taiwan (R.O.C.)"
71,洽公場所,和平區戶政事務所,414,臺中市,和平區,臺中市和平區南勢里巴新街8號,Government Offices,"Heping Distric Registration Office,Taichung City",Taichung City,Heping District,"No.8, Ba-sin St.,Heping  District, Taichung City, Taiwan (R.O.C.)"
72,洽公場所,中興地政事務所,403,臺中市,西區,臺中市西區東興路三段246號,Government Offices,"Zhongxing Land Office,Taichung City",Taichung City,West Dist,"No.246, Sec. 3, Dongsing Rd., West District, Taichung City 40352, Taiwan (R.O.C.)"
73,洽公場所,太平地政事務所,411,臺中市,太平區,臺中市太平區大源路1-19 號,Government Offices,"Taiping Land Office, Taichung City ",Taichung City,Taiping District,"No.1-19, Dayuan Rd., Taiping Dist., Taichung City 41106, Taiwan (R.O.C.)"
74,洽公場所,中山地政事務所,403,臺中市,西區,臺中市西區三民路一段158號,Government Offices,"Zhongshan Land Office,Taichung City",Taichung City,West Dist,"No.158, Sec. 1, Sanmin Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)"
75,洽公場所,東勢地政事務所,423,臺中市,東勢區,臺中市東勢區東新里東蘭路26號,Government Offices,"Dongshi Land Office,Taichung City",Taichung City,Dongshi Dist,"No.26, Donglan Rd., Dongshi Dist, Taichung City 423, Taiwan (R.O.C.) "
76,洽公場所,清水地政事務所,436,臺中市,清水區,臺中市清水區鰲峰里大街路138號,Government Offices,"Qingshui Land Office, Taichung City",Taichung City,Qingshui District,"No.138, Dajie Rd., Qingshui Dist., Taichung City 43654, Taiwan (R.O.C.)"
77,洽公場所,雅潭地政事務所,427,臺中市,潭子區,臺中市潭子區勝利路165號,Government Offices,"Ya-Tan Land Office, Taichung City",Taichung City,Tanzi District,"No.165, Shengli Rd., Tanzi District, Taichung City, Taiwan (R.O.C.)"
78,洽公場所,中正地政事務所,406,臺中市,北屯區,臺中市北屯區北平路三段36號,Government Offices,"Zhongzheng Land Office, Taichung City",Taichung City,Beitun District,"No.36, Sec. 3, Beiping Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
79,洽公場所,大甲地政事務所,437,臺中市,大甲區,臺中市大甲區鎮政路38號,Government Offices,"Dajia Land Office, Taichung City",Taichung City,Dajia District,"No.38, Zhenzheng Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
80,洽公場所,大里地政事務所,412,臺中市,大里區,臺中市大里區西榮里東榮路296號,Government Offices,"Dali Land  Office, Taichung City",Taichung City,Dali District,"No.296, Dongrong Rd., Dali District, Taichung City41265, Taiwan (R.O.C.)"
81,洽公場所,豐原地政事務所,420,臺中市,豐原區,臺中市豐原區西安街21號2樓,Government Offices,"Fongyuan Land Office, Taichung City",Taichung City,Fengyuan District,"No.21, Si-an St., Fongyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
82,文教館所,大墩文化中心,403,臺中市,西區,臺中市西區英才路600號,Education and Culture Facilities,Taichung City Dadun Cultural Center,Taichung City,West Dist,"No.600, Yingcai Rd., West District., Taichung City 40359, Taiwan (R.O.C.)"
83,文教館所,葫蘆墩文化中心,420,臺中市,豐原區,臺中市豐原區圓環東路782號,Education and Culture Facilities,Taichung Municipal City Huludun Cultural Center,Taichung City,Fengyuan District,"No.782, Yuanhuan E. Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
84,文教館所,港區藝術中心,436,臺中市,清水區,臺中市清水區忠貞路21號,Education and Culture Facilities,Taichung City Seaport Art Center,Taichung City,Qingshui District,"No.21, Chung Chen Rd., Cing Shimizu District, Taichung City 436, Taiwan (R.O.C.)"
85,文教館所,屯區藝文中心,411,臺中市,太平區,臺中市太平區大興路201號,Education and Culture Facilities,Taichung City Tun District Art Center,Taichung City,Taiping District,"No.201, Daxing Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
86,文教館所,西屯區圖書館,407,臺中市,西屯區,臺中市西屯區福星路666號,Education and Culture Facilities,"Situn District Library, Taichung City",Taichung City,Xitun District,"No.666, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
87,文教館所,和平區圖書館,424,臺中市,和平區,臺中市和平區東關路三段156號,Education and Culture Facilities,"Heping District Library, Taichung City",Taichung City,Heping District,"No.156-1, Sec. 3, Dongguan Rd., Heping Dist., Taichung City 42441, Taiwan (R.O.C.)"
88,文教館所,大甲區圖書館,437,臺中市,大甲區,臺中市大甲區雁門路172號,Education and Culture Facilities,"Dajia District Library,Taichung City",Taichung City,Dajia District,"No172,Yanmen Road,Dajia Dist.,Taichung City 437,Taiwan(R.O.C.)"
89,文教館所,大雅區圖書館,428,臺中市,大雅區,臺中市大雅區雅潭路388號,Education and Culture Facilities,"Daya District Library,Taichung City ",Taichung City,Daya District,"No. 800, sec.4 Y?t?n Road, Daya District, Taichung City, "
90,文教館所,圖書資訊中心,435,臺中市,梧棲區,臺中市梧棲區民生街15-77號,Education and Culture Facilities,"Library Information Center,Taichung City",Taichung City,Wuqi District,"No.15-77, Minsheng St., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
91,文教館所,潭子區圖書館,427,臺中市,潭子區,臺中市潭子區中山路二段399號,Education and Culture Facilities,"Tanzih District Library, Taichung City ",Taichung City,Tanzi District,"No.399, Jungshan Rd., Tanzih District, Taichung City 42758, Taiwan (R.O.C.)"
92,文教館所,東勢區圖書館,423,臺中市,東勢區,臺中市東勢區豐勢路518號,Education and Culture Facilities,"Dongshi  District  Library,Taichung City",Taichung City,Dongshi Dist,No.518.Fengshi Rd.Dongshi Dist. Taichung City 42352.Taiwan.<R.O.C>
93,文教館所,大肚區圖書館,432,臺中市,大肚區,臺中市大肚區頂街里大德6街30號,Education and Culture Facilities,"Dadu Distric Library,Taichung City",Taichung City,Dadu District,"No.30, Dade 6th St., Dadu District, Taichung City, Taiwan (R.O.C.)"
94,文教館所,清水區圖書館,436,臺中市,清水區,臺中市清水區鎮政路50號,Education and Culture Facilities,"Qingshui Dist Library,Taichung City",Taichung City,Qingshui District,"No.50, Zhenzheng Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
95,文教館所,后里區圖書館,421,臺中市,后里區,臺中市后里區墩東里文化路28號,Education and Culture Facilities,"Houli Dis Trict Library ,Taichung City",Taichung City,Houli District,"No.28, Wenhua Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
96,文教館所,中區圖書館,400,臺中市,中區,臺中市中區成功路300號7樓,Education and Culture Facilities,"Centeral Distric Library,Taichung City",Taichung City,Central District,"7F.,NO300, CHENGGONG RD., TAICHUNG CITY,TAIWAN R.O.C"
97,文教館所,石岡區圖書館,422,臺中市,石岡區,臺中市石岡區明德路175號,Education and Culture Facilities,"Shihkang Library,Taichung City",Taichung City,Shihkang District,"No.175, Mingde Rd., Shigang Dist., Taichung City 422, Taiwan (R.O.C.)"
98,文教館所,龍井區圖書館,434,臺中市,龍井區,臺中市龍井區龍泉里觀光路2號,Education and Culture Facilities,"Longjing Rublic Library,Taichung City",Taichung City,Longjing District,"No.2, Guanguang Rd., Long Chuan Village, Long Jing District, Taichung City, 43452, Taiwan (R.O.C.)"
99,文教館所,豐原區圖書館南嵩分館,420,臺中市,豐原區,臺中市豐原區水源路17巷2號,Education and Culture Facilities,"Fengyuan District Library ,Taichung City(Southern Song Branch)",Taichung City,Fengyuan District,"No.2, Ln. 17, Shueiyuan Rd., Fongyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
100,文教館所,太平區太平圖書館,411,臺中市,太平區,臺中市太平區太平三街20號,Education and Culture Facilities,"Taiping District Pinglin Library ,Taichung City",Taichung City,Taiping District,"No.20, Taiping 3rd St., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
101,文教館所,外埔區圖書館,438,臺中市,外埔區,臺中市外埔區大同里甲后路440-1號,Education and Culture Facilities,"Waipu District Library,Taichung City",Taichung City,Waipu District,"No440-1, Jiahou Rd,Waipu District,Taichung City, Taiwan (R.O.C.)"
102,文教館所,烏日區圖書館,414,臺中市,烏日區,臺中市烏日區九德里興祥街121號,Education and Culture Facilities,"Wuri District Library,Taichung City",Taichung City,Wuri District,"No.121, Xingxiang St., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
103,文教館所,太平區坪林圖書館,411,臺中市,太平區,臺中市太平區中山路一段213號,Education and Culture Facilities,"Taiping District Taiping Library ,Taichung City",Taichung City,Taiping District,"No.213, Sec. 1, Zhongshan Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
104,文教館所,龍井區圖書館龍津分館,434,臺中市,龍井區,臺中市龍井區龍津里中央路1段167號3樓,Education and Culture Facilities,"Longjing Rublic Library ,Taichung City (Longjin Branch)",Taichung City,Longjing District,"3F, No.167, Sec.1, Zhongyang Rd., Long Jin Village, Long Jing District, Taichung City, 43451, Taiwan (R.O.C.)"
105,文教館所,新社區圖書館,426,臺中市,新社區,臺中市新社區新社里興社街四段1巷1號,Education and Culture Facilities,"Xinshe District Library, Taichung City",Taichung City,Xinshe District,"No.1,  Ln. 1. Sec. 4. Xinshe St., Xinshe Dist.,  Taichung City 42644, Taiwan (R.O.C.)"
106,文教館所,梧棲區圖書館,435,臺中市,梧棲區,臺中市梧棲區雲集街72號,Education and Culture Facilities,"Wuqi District Yong'an Library, Taichung City ",Taichung City,Wuqi District,"NO.72,Yunji St .,Wuqi  Dist., Taichung City 43546 ,Taiwan R.O.C"
107,文教館所,大安區圖書館,439,臺中市,大安區,臺中市大安區中庄里興安路378號,Education and Culture Facilities,"Daan District Library,Taichung City ",Taichung City,Daan District,"No.378, Xing'an Rd., Zhongzhuang Vil., Da'an Dist., Taichung City 43951, Taiwan(R.O.C)"
